Time,Strain
-1.133300780375,-1.2416563256362986e-23
-1.13305663975,-1.1924984563133498e-23
-1.132812499125,-1.142423451359143e-23
-1.1325683585,-1.0914783256274115e-23
-1.132324217875,-1.039710624878251e-23
-1.13208007725,-9.871688631073073e-24
-1.131835936625,-9.339027796604336e-24
-1.131591796,-8.799633139507439e-24
-1.131347655375,-8.254023510712537e-24
-1.13110351475,-7.702723672197417e-24
-1.130859374125,-7.146260808130803e-24
-1.1306152335,-6.585161493061393e-24
-1.130371092875,-6.019949119525463e-24
-1.13012695225,-5.451141877061739e-24
-1.129882811625,-4.879251729201805e-24
-1.129638671,-4.3047850241952705e-24
-1.129394530375,-3.7282450422710524e-24
-1.12915038975,-3.1501358963323732e-24
-1.128906249125,-2.5709662329140215e-24
-1.1286621085,-1.9912508950705146e-24
-1.128417967875,-1.4115095705841147e-24
-1.12817382725,-8.322630400775365e-25
-1.127929686625,-2.540288458320378e-25
-1.127685546,3.226818812915326e-25
-1.127441405375,8.973659040815216e-25
-1.12719726475,1.469528392592306e-24
-1.126953124125,2.0386834902678265e-24
-1.1267089835,2.6043552506519397e-24
-1.126464842875,3.166078367141895e-24
-1.12622070225,3.7233978288317994e-24
-1.125976561625,4.2758671472840925e-24
-1.125732421,4.823045654259121e-24
-1.125488280375,5.364496025521432e-24
-1.12524413975,5.899783276372513e-24
-1.124999999125,6.4284759351703146e-24
-1.1247558585,6.950149162083152e-24
-1.124511717875,7.46438872045806e-24
-1.12426757725,7.97079447445703e-24
-1.124023436625,8.468982579754169e-24
-1.123779296,8.958586325656091e-24
-1.123535155375,9.439255982336558e-24
-1.12329101475,9.910657816308607e-24
-1.123046874125,1.0372472148080572e-23
-1.1228027335,1.0824390511573422e-23
-1.122558592875,1.126611265607677e-23
-1.12231445225,1.1697344642882404e-23
-1.122070311625,1.2117799023963942e-23
-1.121826171,1.252719712394201e-23
-1.121582030375,1.2925272452341593e-23
-1.12133788975,1.3311773898776017e-23
-1.121093749125,1.3686467691933673e-23
-1.1208496085,1.4049137826012014e-23
-1.120605467875,1.4399585328852133e-23
-1.12036132725,1.4737627113940075e-23
-1.120117186625,1.5063095042677564e-23
-1.119873046,1.53758353152224e-23
-1.119628905375,1.567570775124089e-23
-1.11938476475,1.5962584450288165e-23
-1.119140624125,1.6236347900349355e-23
-1.1188964835,1.649688939653677e-23
-1.118652342875,1.6744108850254304e-23
-1.11840820225,1.697791641716195e-23
-1.118164061625,1.719823530575944e-23
-1.117919921,1.7405004493627548e-23
-1.117675780375,1.7598180272487346e-23
-1.11743163975,1.777773622598881e-23
-1.117187499125,1.7943661843372276e-23
-1.1169433585,1.809596021823795e-23
-1.116699217875,1.823464531807979e-23
-1.11645507725,1.8359739343348053e-23
-1.116210936625,1.847127069408556e-23
-1.115966796,1.856927295814341e-23
-1.115722655375,1.865378511117376e-23
-1.11547851475,1.8724852896028996e-23
-1.115234374125,1.8782531087525954e-23
-1.1149902335,1.882688598485204e-23
-1.114746092875,1.8857997181612217e-23
-1.11450195225,1.8875957751287025e-23
-1.114257811625,1.8880872692986054e-23
-1.114013671,1.8872856376578493e-23
-1.113769530375,1.885203015978214e-23
-1.11352538975,1.8818520938479816e-23
-1.113281249125,1.8772460545750993e-23
-1.1130371085,1.87139853870194e-23
-1.112792967875,1.8643235876652318e-23
-1.11254882725,1.856035580481111e-23
-1.112304686625,1.8465492155492965e-23
